name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Alohi Gilman,4.89,7.89,5.04,5.09,5.19,0,0,0,0,7.31,6.83,7.58,,,,,
Bhayshul Tuten,5.27,6.78,7.41,6.83,6,5.86,5.5,0,6,6.29,6.74,8.7,,,,,
Brandon Aubrey,7.43,8.57,8.24,7.4,7.67,7.95,8.27,7.54,8.34,0,8.46,8.02,,,,,
Caleb Williams,18.35,19.3,20.94,18.97,0,17.76,19.42,16.99,19,20.1,20.03,20.16,,,,,
Christian Kirk,7.24,0,10.29,10.57,9.25,0,0,0,8.23,9.77,7.1,6.9,,,,,
D'Andre Swift,11.99,12.01,12.05,11.39,0,11.36,12.49,11.63,0,12.9,12.49,13.84,,,,,
DJ Moore,15.67,15.62,15.54,13.8,0,11.83,12.65,12.19,13.28,13.41,12.28,12.36,,,,,
DK Metcalf,13.93,15.5,14.41,13.63,0,13.66,14.82,14.42,15.09,13.8,14.25,13.86,,,,,
Ernest Jones IV,6.68,6.37,7.07,6.85,7.03,7.07,6.8,0,7.15,0,6.91,0,,,,,
Ja'Marr Chase,20.41,22.29,18.91,18.59,19.34,18.29,19.51,22.19,23.33,0,0,0,,,,,
Ja'Tavion Sanders,6.01,6.55,8.44,0,0,0,5.87,6.18,5.79,6.04,5.63,5.75,,,,,
Jake Ferguson,8.95,8.37,10.08,12.37,11.76,13.11,11.26,10.15,11.1,0,10.8,9.34,,,,,
James Conner,14.92,15.65,0,0,0,0,0,0,0,0,0,0,,,,,
Jared Goff,18.42,21.62,18.88,20.17,19.18,18.34,20.36,0,20.1,21.34,18.83,22.57,,,,,
Jayden Reed,9.57,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jordan Addison,0,0,0,9.37,9.5,0,10.54,11.73,11.31,12.52,12.18,10.51,,,,,
Juwan Johnson,6.56,8.78,9.53,10.01,8.63,8.26,7.19,8.66,8.05,9.25,0,10.22,,,,,
Kansas City,19.63,17.29,22.1,15.78,18.77,15.81,23.3,20.81,15.71,0,17.63,18.01,,,,,
Kimani Vidal,0.42,1.27,0,0.34,0.4,6.74,10.72,11.33,13.55,12.42,13.91,0,,,,,
Los Angeles,18.25,19.78,18.48,23.59,20.28,20.47,18.32,22.29,27.97,20.41,22.23,0,,,,,
Malik Washington,9.23,11.48,9.55,10.24,12.75,11.56,9.97,11.88,12.61,12.74,12.93,0,,,,,
Maxx Crosby,4.83,4.87,4.78,5.13,4.72,4.96,4.37,0,4.85,4.45,4.96,4.7,,,,,
Minkah Fitzpatrick,5.54,5.54,5.18,5.56,5.38,5.32,4.86,5.13,5.42,5.34,5.71,0,,,,,
Nick Chubb,8.95,10.97,10.55,11.06,7.18,0,8,7.91,7.47,8.41,8.43,6.33,,,,,
Quinnen Williams,3.29,3.5,3.34,3.5,3.72,3.34,3.63,3.41,0,0,4.26,4.01,,,,,
Saquon Barkley,19.02,16.69,19.41,16.82,17.05,16.81,15.56,17.01,0,16.47,16.71,17.08,,,,,
Tyjae Spears,0,0,0,0,6.85,6.22,7.75,8.19,8.71,0,9.03,9.61,,,,,
Tyler Nubin,5.77,5.77,5.72,5.64,5.8,5.42,5.39,5.58,6.12,5.82,0,0,,,,,
Wil Lutz,7.91,7.46,7.15,7.65,6.58,7.36,7.37,7.53,6.53,7.92,7.12,0,,,,,
Zack Baun,8.26,7.76,7.83,7.73,7.76,7.76,7.66,7.96,0,7.49,7.83,7.96,,,,,
